MATH,PHYSICS,BIOLOGY
acute angle,acceleration,aerobic
addition,alternating current,agglutination
algorithm or algorism,ampere,albino
angle,amplifier,allele or allelomorph
arc,angstrom,anaerobic
area,anion,anterior
average,antimatter,asexual
axis,atom,assimilation
base,baryon,bacteria
binary,becquerel,binary fission
binomial,Boyle's law,biomass
cardinal number,Brownian motion,blood
Cartesian coordinates,cacion,blood vessel
chord,calorie,bone
circle,capacitance,cell
circumference,cathode ray,chromosome
closed set,centre of gravity,circulation
coefficient,centrifugal force,circulatory system
common denominator,centripetal force,class
common factor,charge,clone
complex number,Charles' law,codominant
concentric,conductor,cold-blooded
cone,convection,conception
constant,cosmic ray,copulate
coordinate or co-ordinate,coulomb,cytoplasm
cosecant,current,digestion
cosine,cyclotron,diploid
cotangent,decibel,DNA or deoxyribonucleic acid
cube,density,dominant
cube root,diffraction,dorsal
cuboid,diffusion,ecosystem
curve,diode,egg
cusp,direct current,embryo
cylinder,Doppler effect,environment
decagon,earth,enzyme
decimal,electric sparks or crackling produced by friction,epidermis
denary,electricity,evolution
denominator,electromagnetic radiation,excretion
diagonal,electromotive force,family
diameter,electron,fermentation
digit,electron,fertilization
division,energy,flower
dodecahedron,farad,foetus
ellipse,field,food chain
equals,fission,fossil
equation,fluorescence,fruit
equilateral,force,fungus
even,frequency,gamete
exponential,friction,gene
factor,fuse,genus
factorial,fusion,germination
formula,gamma ray,gestation
fraction,generator,gland
function,gravitational wave,gonad
geodesic,gravity,growth
geometric,half-life,haploid
geometry,hertz,heredity
graph,hyperon,hermaphrodite
helix,impetus,hormone
hemisphere,inductance,hybrid
heptagon,inertia,inheritance
hexagon,infrared,invertebrate
hyperbola,joule,kingdom
hypotenuse,kelvin,Krebs cycle
icosahedron,kinetic energy,life cycle
imaginary number,laser,meiosis
improper fraction,lens,menstruation
index,lepton,metabolism
infinity,luminescence,metamorphosis
integer,magentism,mitosis
integral,mass,muscle
intersection,matter,mutation
irrational number,meson,natural selection
isosceles,microwave,nitrogen cycle
locus,moment,order
logarithm or log,momentum,organ
lowest common denominator,muon,osmosis
lowest common multiple,neutrino,ovulation
Mandelbrot set,neutron,ovum
math,newton,parasite
mathematical,nucleus,pathogen
mathematics,nucleon,pectoral
matrix,ohm,photosynthesis
mean,Ohm's law,phylum
median,particle,poikilothermic
minus,pascal,pollen
mode,Planck constant or Planck's constant,pollinate
multiplication,potential difference,pollution
natural logarithm,potential energy,posterior
natural number,proton,predator
node,quantum,pregnancy
nonagon,radiation,progeny
number,radio wave,propagation
numerator,radioactivity,protein
oblong,red shift,protoplasm
obtuse angle,reflection,puberty
octagon,refraction,recessive
octahedron,relativity,reproduction
odd,resistance,respiration
open set,rutherford,RNA or ribose nucleic acid
operation,semiconductor,ribosome
operator,simple harmonic motion,seed
ordinal number,spectrum,sexual reproduction
origin,static electricity,skeleton
parabola,subatomic particle,skin
parallel,superconductivity,soil
parallelogram,superfluidity,species
pentagon,surface tension,spermatozoon or sperm
percentage,tau particle,spore
perfect number,tension,symbiosis
pi,terminal velocity,translocation
plus,thermostat,transpiration
polygon,transformer,ventral
polyhedron,transistor,vertebrate
polynomial,ultraviolet,virus
power,vacuum,vitamin
prime number,velocity,viviparous
prism,viscosity,warm-blooded
probability,volt,X-chromosome
product,watt,Y-chromosome
proof,wave,zygote
proper fraction,wavelength,
Pythagoras' theorem,x-ray,
quadrant,nucleus,
quadratic equation,,
quadrilateral,,
quotient,,
radian,,
radius,,
ratio,,
rational number,,
real number,,
reciprocal,,
rectangle,,
recurring decimal,,
reflex angle,,
remainder,,
rhombus,,
right angle,,
right-angled triangle,,
scalar,,
scalene,,
secant,,
sector,,
semicircle,,
set,,
significant figures,,
simultaneous equations,,
sine,,
slide rule,,
solid,,
sphere,,
square,,
square root,,
strange attractor,,
subset,,
subtraction,,
sum,,
surd,,
tangent,,
tetrahedron,,
torus,,
trapezium,,
triangle,,
union,,
universal set,,
value,,
variable,,
vector,,
Venn diagram,,
volume,,
vulgar fraction,,
x-axis,,
y-axis,,
z-axis,,
zero,,
